/noc/mpoc/surface_data/TRACKING/FinalTrack/ANC_INFO/ids_to_join_720.txt
"01177006","01177005"
"01177009","01177008"
"01177010","01177008"
"01177011","01177008"
"01177012","01177008"
"01177013","01177008"
"01177015","01177014"
"01177016","01177014"
"01177018","01177017"
"01177019","01177017"
"01177020","01177017"
"01177021","01177017"
"01177022","01177017"
"01177023","01177017"
"01177024","01177017"
"01177025","01177017"
"01177026","01177017"
"01177027","01177017"
"01177028","01177017"
"02147876","02147875"
"02147888","02147887"
"02147928","02147927"
"02147930","02147929"
"02147932","02147931"
"02147934","02147933"
"02147954","02147953"
"02147955","02147953"
"01177033","01177032"
"01177034","01177032"
"01177035","01177032"
"01177036","01177032"
"01177037","01177032"
"01177038","01177032"
"02148009","02148008"
"02148028","02148027"
"02148047","02148046"
"02148048","02148046"
"01177046","01177045"
"01177047","01177045"
"01177048","01177045"
"01177049","01177045"
"01177050","01177045"
"01177051","01177045"
"01177052","01177045"
"01177053","01177045"
"02148115","02148114"
"02148132","02148131"
"02148140","02148139"
"02148197","02148196"
"02148205","02148204"
"01177060","01177059"
"01177061","01177059"
"01177062","01177059"
"01177063","01177059"
"01177064","01177059"
"02148220","02148219"
"02148234","02148233"
"02148253","02148252"
"02148258","02148257"
"02148302","02148301"
"01177071","01177070"
"01177072","01177070"
"01177073","01177070"
"02148345","02148344"
"02148346","02148344"
"02148350","02148349"
"02148372","02148371"
"02148378","02148377"
"01177082","01177081"
"01177083","01177081"
"01177084","01177081"
"02148413","02148412"
"02148421","02148420"
"02148432","02148431"
"02148441","02148440"
"02148442","02148440"
"02148502","02148501"
"02148511","02148510"
"01177089","01177088"
"01177090","01177088"
"01177091","01177088"
"01177092","01177088"
"01177094","01177093"
"01177095","01177093"
"02148537","02148536"
"02148546","02148545"
"02148547","02148545"
"02148549","02148548"
"02148552","02148551"
"02148572","02148571"
"02148573","02148571"
"02148586","02148585"
"02148596","02148595"
"01177105","01177104"
"01177106","01177104"
"01177107","01177104"
"01177108","01177104"
"02148628","02148627"
"02148640","02148639"
"02148671","02148670"
"02148672","02148670"
"01177123","01177122"
"01177124","01177122"
"01177125","01177122"
"01177126","01177122"
"01177127","01177122"
"01177129","01177128"
"01177130","01177128"
"01177131","01177128"
"02148695","02148694"
"02148699","02148698"
"02148701","02148700"
"02148718","02148717"
"02148727","02148726"
"02148728","02148726"
"02148735","02148734"
"02148741","02148740"
"01177148","01177147"
"01177149","01177147"
"01177150","01177147"
"01177151","01177147"
"01177153","01177152"
"01177154","01177152"
"01177155","01177152"
"02148793","02148792"
"02148824","02148823"
"02148825","02148823"
"02148843","02148842"
"01177169","01177168"
"01177170","01177168"
